to blazon out; herausposaunen
to imperil; gefährden
to call sth. into question | to challenge sth.; etw. in Frage stellen
to cling to sth.; sich an etw. klammern 
sth. takes its course; etw. nimmt seinen Lauf
to be inclined to do sth. | to tend to do sth. | to be in favor of doing sth. | to be apt to do sth.; geneigt sein, etw. zu tun
to cow so.; jmd. einschüchtern
to blazon; schmücken | ausmalen | verkünden
to act coyly; sich zieren
to devise sth.; etw. ersinnen | etw. erdenken | etw. entwerfen 
to mortgage a house; eine Hypothek auf ein Haus aufnehmen
to launch sth.; etw. lancieren
to scoff; spotten
to father sth.; etwas zeugen | Vater von etw. werden
to bridle at sth.; sich gegen etw. aufbäumen
to reify; vergegenständlichen
to decay | to deteriorate | to go rack and ruin | to fall into decay; verfallen | verkommen | verwesen
to bellow; brüllen | schreien
to coarsen; sich vergröbern | rau werden
to rebuff so.; jmdn. brüskieren | jmdn. zurückweise | jmdm. einen Korb geben
to follow suit; einem Beispiel folgen | es jmdm. gleichtun | jmdm. nacheifern
to get rattled; durchgeschüttelt werden
to surmount sth. | to overcome sth. | to overbear sth. | to vanquish sth. | to get over sth.; etw. überwinden | etw. bewältigen
to preclude sth.; etw. (von vornherein) ausschließen
to exclude sth. | to eliminate sth. | to suspend sth. | to rule sth. out; etw. ausschließen
to endear oneself to so.; sich bei jmdm. beliebt machen
to gush; schwärmen | sprudeln | rieseln
to turn on so.; sich (plötzlich) gegen jmdn. wenden | jmdn. angreifen
to thrust; stoßen | pressen | drücken
to jeopardize sth.; etw. gefährden | etw. auf's Spiel setzen
to take ill; (plötzlich) krank werden
to come down with sth.; sich etw. eingefangen haben (an etw. erkranken)
to cobble sth. together; etw. zusammenschustern
