not exactly; nicht gerade
to hold a grudge; sauer sein
so. who happens to be sth.; jmd., der zufällig etw. ist
there is blue, and there is blue; blau ist nicht gleich blau
sth. takes its toll; etw. hat seinen Preis | etw. fordert seinen Tribut
to wreck havoc; Verwüstung anrichten
the game is afoot; das Spiel hat begonnen
to go to pot; den Bach runtergehen
to be down for sth.; bei etw. dabei sein | bei etw. mitmachen
red-blooded; knallhart
to take a dim view of sth.; eine schlechte Meinung von etw. haben
to put sth. under strain; etw. belasten
to be overmodest; tiefstapeln
to be in cahoots with so.; mit jmdm. unter einer Decke stecken
to nip sth. in the bud; etw. im Keim ersticken; wörtlich: "etw. an der Knospe kappen"
to split the pie evenly; den Kuchen gleichmäßig verteilen
on the verge of sth.; am Rande | kurz vor etw.
to bide one's time; auf den richtigen Augenblick warten 
juncture; kritischer Augenblick	
