to converge | to convene; sich versammeln
to confine oneself; sich beschränken
to shy away | to shrink back; zurückschrecken
to appropriate sth.; etw. bewilligen
to disdain; verachten | geringschätzen
to enshrine sth. | to perpetuate sth. | to preserve sth. | to retain sth. | to conserve sth.; etw. bewahren
tractable; lenkbar
spurious; falsch | unberechtigt
to be heedless of sth.; keine Rücksicht auf etw. nehmen
to purport sth.; etw. vorgeben | etw. behaupten
to dull; abstumpfen
to acquiesce in sth.; sich in etw. schicken
authority; Vollmacht | Befugnis
to lament sth.; über etw. klagen
to resort to sth.; auf etw. zurückgreifen
to lull; einlullen
ruthless; rücksichtslos
impartial; unparteiisch | unbefangen | unvoreingenommen | vorurteilsfrei
impenetrable; undurchdringlich
to convene sth.; etw. einberufen
incumbent; Amtsinhaber
purport | import; Import
to budge; nachgeben
to bellyache; nörgeln | meckern
brazenly; dreist | schamlos | unverschämt
convoluted; verworren | verwickelt
the greater public good; das öffentliche Wohl
umpire | referee; Schiedsrichter
heedless; achtlos
to ratchet up; hochfahren | ankurbeln | anheizen
canvass; Untersuchung | Erörterung
to take to the streets; auf die Straße gehen
muzzle; Maulkorb
to reckon; meinen (i.S.v. "äußern")
purport | intention; Absicht | Intention
partisan; parteipolitisch | parteiisch
fringe group; Randgruppe
bogeyman; Feindbild | Schreckgespenst
entrenched; verwurzelt
to take sth. by storm; etw. im Sturm erobern
to disenfranchise; entrechten
calumny; Verleumdung | Rufmord
rank nonsense; reiner Unsinn
bipartisan; überparteilich
rectitude; Rechtschaffenheit
plunge; Einbruch (plötzlicher Abfall)
the number of homeless people is swelling; die Zahl der Obdachlosen steigt an
to surpass sth.; etw. überschreiten
to comprise sth. | to consist of sth.; aus etw. bestehen
economic recovery; wirtschaftlicher Aufschwung | wirtschaftliche Erholung
